datetime,auth_node,sub_node,same_auth_sub,local_pow,timeToSync,timeToReceiveMessage,packet_size_bytes
1648231786593,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,294,16901,2000
1648231806178,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,123,19405,2000
1648231811001,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,116,4653,2000
1648231818054,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,116,6886,2000
1648232809052,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,280,1346,2
1648232815537,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,103,6326,2
1648232818560,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,121,2843,2
1648232819169,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,114,442,2
1648232825017,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,122,5667,2
1648232825886,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,123,689,2
1648232826991,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,127,918,2
1648232827598,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,438,2
1648232831416,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,112,3642,2
1648232832266,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,111,686,2
1648232837045,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,114,4607,4
1648232838369,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,117,1146,4
1648232839127,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,115,579,4
1648232844306,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,110,5010,4
1648232846534,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,120,2050,4
1648232848399,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,108,1700,4
1648232853461,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,115,4882,4
1648232855484,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,130,1819,4
1648232858668,http://54.177.214.21:14265,http://54.177.214.21:14265,true,false,113,3011,4
1648233772622,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,2829,7645,2
1648233775850,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1104,2066,2
1648233787244,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1106,10231,2
1648233790441,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1051,2085,2
1648233796846,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1155,5191,2
1648233801517,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1015,3594,2
1648233805505,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1043,2887,2
1648233809280,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1141,2573,2
1648233816073,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1064,5672,2
1648233819439,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1132,2183,2
1648233825929,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1114,5315,4
1648233831214,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1096,4128,4
1648233835560,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1144,3148,4
1648233839786,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1201,2967,4
1648233844034,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1010,3184,4
1648233858747,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,982,13674,4
1648233871947,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1051,12091,4
1648233875923,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1124,2798,4
1648233886436,http://54.177.214.21:14265,http://3.0.50.236:14265,false,false,1180,9277,4
1648345667505,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,2866,8842,2
1648345676415,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1231,7103,2
1648345686210,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1109,8108,2
1648345695977,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1029,8248,2
1648345703548,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1201,5869,2
1648345709558,http://3.0.50.236:14265,http://3.0.50.236:14265,true,false,1272,4199,2
